workers	1552	2.511408
foreign	1524	2.466099
american	1486	2.404609
program	1031	1.668339
students	1017	1.645684
jobs	862	1.394867
opt	804	1.301013
americans	744	1.203922
citizens	722	1.168323
hire	623	1.008123
work	566	0.915887
rule	537	0.868960
training	513	0.830124
country	490	0.792906
stem	483	0.781579
security	467	0.755688
employers	467	0.755688
companies	448	0.724943
proposed	421	0.681252
job	391	0.632707
pay	364	0.589016
time	363	0.587398
graduates	355	0.574452
student	347	0.561507
people	345	0.558270
taxes	345	0.558270
optional	339	0.548561
practical	338	0.546943
years	326	0.527525
need	319	0.516198
tech	310	0.501634
government	292	0.472507
college	287	0.464416
visa	280	0.453089
000	270	0.436907
department	265	0.428816
expand	256	0.414253
stop	246	0.398071
wages	246	0.398071
payroll	242	0.391598
year	237	0.383508
immigration	232	0.375417
homeland	226	0.365708
social	211	0.341435
america	211	0.341435
recent	210	0.339817
don	205	0.331726
foreigners	201	0.325253
programs	197	0.318781
degree	197	0.318781
instead	196	0.317162
incentive	189	0.305835
labor	189	0.305835
paying	181	0.292890
worker	175	0.283181
dhs	173	0.279944
does	172	0.278326
months	172	0.278326
allow	169	0.273472
visas	168	0.271853
make	168	0.271853
working	159	0.257290
states	159	0.257290
united	158	0.255672
fields	154	0.249199
qualified	152	0.245963
provide	149	0.241108
medicare	147	0.237872
pool	145	0.234635
help	143	0.231399
hiring	140	0.226545
just	136	0.220072
oppose	134	0.216835
countries	133	0.215217
obama	129	0.208745
way	129	0.208745
expansion	129	0.208745
want	126	0.203890
like	125	0.202272
leave	124	0.200654
billion	124	0.200654
wage	123	0.199036
home	122	0.197417
share	122	0.197417
create	116	0.187708
avoid	115	0.186090
administration	115	0.186090
employer	113	0.182854
citizen	112	0.181236
money	110	0.177999
available	110	0.177999
especially	106	0.171527
expanding	104	0.168290
business	103	0.166672
cheaper	103	0.166672
giving	103	0.166672
know	102	0.165054
away	101	0.163436
employment	101	0.163436
tax	101	0.163436
received	100	0.161818
incentives	99	0.160199
pledge	98	0.158581
opportunities	98	0.158581
policy	97	0.156963
dollars	93	0.150490
needs	91	0.147254
congress	90	0.145636
extend	90	0.145636
immigrants	90	0.145636
legal	90	0.145636
non	89	0.144018
unemployed	89	0.144018
bridge	88	0.142399
given	88	0.142399
hard	87	0.140781
come	87	0.140781
illegal	86	0.139163
funds	86	0.139163
longer	84	0.135927
